Inicio;Fim;Estado;Municipio;Produto;Medida;Preço médio;Preço mínimo;Periodicidade
07/07/2024;13/07/2024;RORAIMA;BOA VISTA;GASOLINA COMUM;R$/l;R$ 6,29;R$ 6,29;Semanal
07/07/2024;13/07/2024;RORAIMA;BOA VISTA;GLP;R$/13kg;R$ 128,96;R$ 120,00;Semanal
07/07/2024;13/07/2024;RORAIMA;BOA VISTA;OLEO DIESEL;R$/l;R$ 6,40;R$ 6,37;Semanal
07/07/2024;13/07/2024;RORAIMA;BOA VISTA;OLEO DIESEL S10;R$/l;R$ 6,43;R$ 6,41;Semanal
01/06/2024;30/06/2024;RORAIMA;BOA VISTA;GASOLINA COMUM;R$/l;R$ 6,18;R$ 6,14;Mensal
01/06/2024;30/06/2024;RORAIMA;BOA VISTA;GLP;R$/13kg;R$ 127,48;R$ 112,00;Mensal
01/06/2024;30/06/2024;RORAIMA;BOA VISTA;OLEO DIESEL;R$/l;R$ 6,29;R$ 6,25;Mensal
01/06/2024;30/06/2024;RORAIMA;BOA VISTA;OLEO DIESEL S10;R$/l;R$ 6,32;R$ 6,29;Mensal
